sr_number,type,raw_location,area,created_date,activity_date,status,group,description,address,ward
08-00008098,Tree Planting - Green Streets,"420 W HURON ST , CHICAGO, IL, 42-Ward 60610 COOK",,"Jan 02, 2008 03:17 PM","OCT 22, 2008 12:00 AM",Completed,Bureau of Forestry - Green Streets,25ZF 7D,420 W HURON ST,42-Ward
08-00021583,Tree Planting - Green Streets,"251 E PEARSON ST , CHICAGO, IL, 2-Ward 60611 COOK",,"Jan 04, 2008 02:58 PM","OCT 22, 2008 12:00 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC 7D,251 E PEARSON ST,2-Ward
08-00179651,Tree Planting - Green Streets,"726 S LAFLIN ST , CHICAGO, IL, 28-Ward 60607 COOK",,"Jan 30, 2008 03:06 PM","JUL 18, 2008 12:00 AM",Completed,Bureau of Forestry - Green Streets,"POSTED 11-16 > 02-13""  DEAD ( 2ND TREE SOUTH ALLEY )",726 S LAFLIN ST,28-Ward
08-00179658,Tree Planting - Green Streets,"727 S LAFLIN ST , CHICAGO, IL, 28-Ward 60607 COOK",,"Jan 30, 2008 03:06 PM","JUL 18, 2008 12:00 AM",Completed,Bureau of Forestry - Green Streets,CANNOT PLANT; HOMEOWNER/ ASSOCIATION MUST REMOVE FENCE IN ORDER FOR PLANTING TO PROCEED,727 S LAFLIN ST,28-Ward
08-00182373,Tree Planting - Green Streets,"208 W 98TH ST , CHICAGO, IL, 21-Ward 60628 COOK",,"Jan 31, 2008 07:27 AM","JUN 06, 2008 01:09 PM",Completed,Bureau of Forestry - Green Streets,3P ALADDIN AT 202 W 98ST 13ZG 06.06.08,208 W 98TH ST,21-Ward
08-00182379,Tree Planting - Green Streets,"9802 S WABASH AVE , CHICAGO, IL, 9-Ward 60628 COOK",,"Jan 31, 2008 07:29 AM","MAY 16, 2008 10:43 AM",Completed,Bureau of Forestry - Green Streets,7P/ 4 14CF AND 3 05ZA ALADDIN 05.16.08,9802 S WABASH AVE,9-Ward
08-00182387,Tree Planting - Green Streets,"9803 S WABASH AVE , CHICAGO, IL, 9-Ward 60628 COOK",,"Jan 31, 2008 07:29 AM","MAY 16, 2008 10:44 AM",Completed,Bureau of Forestry - Green Streets,9P ALADDIN 01TF 05.16.08,9803 S WABASH AVE,9-Ward
08-00182390,Tree Planting - Green Streets,"9743 S STATE ST , CHICAGO, IL, 9-Ward 60628 COOK",,"Jan 31, 2008 07:30 AM","JUN 16, 2008 10:23 AM",Completed,Bureau of Forestry - Green Streets,7P ALADDIN 13ZG 06.16.08,9743 S STATE ST,9-Ward
08-00182401,Tree Planting - Green Streets,"9601 S STATE ST , CHICAGO, IL, 9-Ward 60628 COOK",,"Jan 31, 2008 07:32 AM","JUN 16, 2008 10:25 AM",Completed,Bureau of Forestry - Green Streets,"30P; 9607-8/32OC, 9605-8/01TF, 9603-7/13ZG, 9601-7/25ZF ALADDIN 06.16.08",9601 S STATE ST,9-Ward
08-00183371,Tree Planting - Green Streets,"3018 S WENTWORTH AVE , 11-Ward CHICAGO, IL, 60616 COOK",,"Jan 31, 2008 09:12 AM","JUN 06, 2008 09:13 AM",Completed,Bureau of Forestry - Green Streets,3 NCO ALADDIN 06ZB 06.06.08,3018 S WENTWORTH AVE,11-Ward
08-00183549,Tree Planting - Green Streets,"3028 S WENTWORTH AVE , 11-Ward CHICAGO, IL, 60616 COOK",,"Jan 31, 2008 09:25 AM","JUN 06, 2008 09:55 AM",Completed,Bureau of Forestry - Green Streets,2 NCO ALADDIN 06ZB 06.06.08,3028 S WENTWORTH AVE,11-Ward
08-00183876,Tree Planting - Green Streets,"3456 S WENTWORTH AVE , 11-Ward CHICAGO, IL, 60616 COOK",,"Jan 31, 2008 09:56 AM","MAY 29, 2008 09:56 AM",Completed,Bureau of Forestry - Green Streets,1 P/S ALADDIN 06ZB 05.29.08,3456 S WENTWORTH AVE,11-Ward
08-00183884,Tree Planting - Green Streets,"3502 S WENTWORTH AVE , 11-Ward CHICAGO, IL, 60609 COOK",,"Jan 31, 2008 09:57 AM","MAY 29, 2008 09:57 AM",Completed,Bureau of Forestry - Green Streets,15 P ALADDIN 05ZA 05.29.08,3502 S WENTWORTH AVE,11-Ward
08-00183896,Tree Planting - Green Streets,"3506 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",11-Ward,"Jan 31, 2008 09:58 AM","MAY 29, 2008 09:59 AM",Completed,Bureau of Forestry - Green Streets,6 P ALADDIN 13ZG 05.29.08,3506 S WENTWORTH AVE,11-Ward
08-00183906,Tree Planting - Green Streets,"3602 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 09:59 AM","MAY 29, 2008 10:00 AM",Completed,Bureau of Forestry - Green Streets,1 P ALADDIN 30ME 05.29.08,3602 S WENTWORTH AVE,3-Ward
08-00183933,Tree Planting - Green Streets,"3616 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:02 AM","MAY 29, 2008 10:02 AM",Completed,Bureau of Forestry - Green Streets,2 P ALADDIN 30ME 05.29.08,3616 S WENTWORTH AVE,3-Ward
08-00183944,Tree Planting - Green Streets,"3624 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:03 AM","JUN 06, 2008 10:03 AM",Completed,Bureau of Forestry - Green Streets,2 NCO ALADDIN 30ME 06.06.08,3624 S WENTWORTH AVE,3-Ward
08-00183960,Tree Planting - Green Streets,"201 W 43RD PL , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:04 AM","JUN 06, 2008 10:05 AM",Completed,Bureau of Forestry - Green Streets,4 P ALADDIN 32OC 06.06.08,201 W 43RD PL,3-Ward
08-00183969,Tree Planting - Green Streets,"4832 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:05 AM","JUN 02, 2008 10:05 AM",Completed,Bureau of Forestry - Green Streets,8 P ALADDIN 13ZG 06.02.08,4832 S WELLS ST,3-Ward
08-00183977,Tree Planting - Green Streets,"4830 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:06 AM","MAY 29, 2008 10:06 AM",Completed,Bureau of Forestry - Green Streets,2 P ALADDIN 32AD 05.29.08,4830 S WELLS ST,3-Ward
08-00183990,Tree Planting - Green Streets,"4920 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:06 AM","JAN 31, 2008 10:07 AM",Completed,Bureau of Forestry - Green Streets,9 P  FALL 2008 INTERIOR TRIANGLE,4920 S WELLS ST,3-Ward
08-00183996,Tree Planting - Green Streets,"4901 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:07 AM","JUN 02, 2008 10:08 AM",Completed,Bureau of Forestry - Green Streets,15P; 8 06ZB AND 7 01TF (4903SWELLS) ALTERNATE SPECIES; ALADDIN 06.02.08,4901 S WELLS ST,3-Ward
08-00184002,Tree Planting - Green Streets,"5002 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:08 AM","JAN 31, 2008 10:08 AM",Completed,Bureau of Forestry - Green Streets,PRIVATE CNP,5002 S WELLS ST,3-Ward
08-00184010,Tree Planting - Green Streets,"5058 S WELLS ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 10:09 AM","JAN 31, 2008 10:09 AM",Completed,Bureau of Forestry - Green Streets,PRIVATE CNP,5058 S WELLS ST,3-Ward
08-00184015,Tree Planting - Green Streets,"5500 S WELLS ST , CHICAGO, IL, 60621 COOK",3-Ward,"Jan 31, 2008 10:09 AM","JUN 04, 2008 10:10 AM",Completed,Bureau of Forestry - Green Streets,19 MEDIAN; ALADDIN 32OC 06.04.08,5500 S WELLS ST,3-Ward
