id,region
1,North
2,North
3,North
4,North
5,North
6,North
7,North
8,Central
9,Northwest
10,Northwest
11,Northwest
12,Northwest
13,Northwest
14,Northwest
15,Northwest
16,Northwest
17,Northwest
18,Northwest
19,Northwest
20,Northwest
21,Northwest
22,Northwest
23,West
24,West
25,West
26,West
27,West
28,West
29,West
30,West
31,West
32,Central
33,Central
34,Southwest
35,South
36,South
37,Southwest
38,South
39,South
40,South
41,South
42,South
43,South
44,South
45,South
46,South
47,South
48,South
49,Far South
50,Far South
51,Far South
52,Far South
53,Far South
54,Far South
55,Far South
56,Southwest
57,Southwest
58,Southwest
59,Southwest
60,Southwest
61,Southwest
62,Southwest
63,Southwest
64,Southwest
65,Southwest
66,Southwest
67,Southwest
68,Southwest
69,South
70,Southwest
71,Far South
72,Far South
73,Far South
74,Far South
75,Far South
76,Northwest
77,North
