SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
08-00008098,Tree Planting -,"420 W HURON ST , CHICAGO, IL, 42-Ward",,"Jan 02, 2008","OCT 22, 2008",Completed,Bureau of Forestry -,25ZF 7D
"",Green Streets,60610,,03:17 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00021583,Tree Planting -,"251 E PEARSON ST , CHICAGO, IL, 2-Ward",,"Jan 04, 2008","OCT 22, 2008",Completed,Bureau of Forestry -,1P 07ZC 7D
"",Green Streets,60611,,02:58 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00179651,Tree Planting -,"726 S LAFLIN ST , CHICAGO, IL, 28-Ward",,"Jan 30, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,"POSTED 11-16 > 02-13""  DEAD"
"",Green Streets,60607,,03:06 PM,12:00 AM,,Green Streets,( 2ND TREE SOUTH ALLEY )
"",,COOK,,,,,,
08-00179658,Tree Planting -,"727 S LAFLIN ST , CHICAGO, IL, 28-Ward",,"Jan 30, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,CANNOT PLANT;
"",Green Streets,60607,,03:06 PM,12:00 AM,,Green Streets,HOMEOWNER/ ASSOCIATION
"",,COOK,,,,,,MUST REMOVE FENCE IN
"",,,,,,,,ORDER FOR PLANTING TO
"",,,,,,,,PROCEED
08-00182373,Tree Planting -,"208 W 98TH ST , CHICAGO, IL, 21-Ward",,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,3P ALADDIN AT 202 W 98ST
"",Green Streets,60628,,07:27 AM,01:09 PM,,Green Streets,13ZG 06.06.08
"",,COOK,,,,,,
08-00182379,Tree Planting -,"9802 S WABASH AVE , CHICAGO, IL, 9-Ward",,"Jan 31, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,7P/ 4 14CF AND 3 05ZA
"",Green Streets,60628,,07:29 AM,10:43 AM,,Green Streets,ALADDIN 05.16.08
"",,COOK,,,,,,
08-00182387,Tree Planting -,"9803 S WABASH AVE , CHICAGO, IL, 9-Ward",,"Jan 31, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,9P ALADDIN 01TF 05.16.08
"",Green Streets,60628,,07:29 AM,10:44 AM,,Green Streets,
"",,COOK,,,,,,
08-00182390,Tree Planting -,"9743 S STATE ST , CHICAGO, IL, 9-Ward",,"Jan 31, 2008","JUN 16, 2008",Completed,Bureau of Forestry -,7P ALADDIN 13ZG 06.16.08
"",Green Streets,60628,,07:30 AM,10:23 AM,,Green Streets,
"",,COOK,,,,,,
08-00182401,Tree Planting -,"9601 S STATE ST , CHICAGO, IL, 9-Ward",,"Jan 31, 2008","JUN 16, 2008",Completed,Bureau of Forestry -,"30P; 9607-8/32OC, 9605-8/01TF,"
"",Green Streets,60628,,07:32 AM,10:25 AM,,Green Streets,"9603-7/13ZG, 9601-7/25ZF"
"",,COOK,,,,,,ALADDIN 06.16.08
08-00183371,Tree Planting -,"3018 S WENTWORTH AVE , 11-Ward",,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,3 NCO ALADDIN 06ZB 06.06.08
"",Green Streets,"CHICAGO, IL, 60616",,09:12 AM,09:13 AM,,Green Streets,
"",,COOK,,,,,,
08-00183549,Tree Planting -,"3028 S WENTWORTH AVE , 11-Ward",,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,2 NCO ALADDIN 06ZB 06.06.08
"",Green Streets,"CHICAGO, IL, 60616",,09:25 AM,09:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00183876,Tree Planting -,"3456 S WENTWORTH AVE , 11-Ward",,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,1 P/S ALADDIN 06ZB 05.29.08
"",Green Streets,"CHICAGO, IL, 60616",,09:56 AM,09:56 AM,,Green Streets,
"",,COOK,,,,,,
08-00183884,Tree Planting -,"3502 S WENTWORTH AVE , 11-Ward",,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,15 P ALADDIN 05ZA 05.29.08
"",Green Streets,"CHICAGO, IL, 60609",,09:57 AM,09:57 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00183896,Tree Planting -,"3506 S WENTWORTH AVE ,",11-Ward,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,6 P ALADDIN 13ZG 05.29.08
"",Green Streets,"CHICAGO, IL, 60609",,09:58 AM,09:59 AM,,Green Streets,
"",,COOK,,,,,,
08-00183906,Tree Planting -,"3602 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,1 P ALADDIN 30ME 05.29.08
"",Green Streets,"CHICAGO, IL, 60609",,09:59 AM,10:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00183933,Tree Planting -,"3616 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,2 P ALADDIN 30ME 05.29.08
"",Green Streets,"CHICAGO, IL, 60609",,10:02 AM,10:02 AM,,Green Streets,
"",,COOK,,,,,,
08-00183944,Tree Planting -,"3624 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,2 NCO ALADDIN 30ME 06.06.08
"",Green Streets,"CHICAGO, IL, 60609",,10:03 AM,10:03 AM,,Green Streets,
"",,COOK,,,,,,
08-00183960,Tree Planting -,"201 W 43RD PL , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,4 P ALADDIN 32OC 06.06.08
"",Green Streets,60609,,10:04 AM,10:05 AM,,Green Streets,
"",,COOK,,,,,,
08-00183969,Tree Planting -,"4832 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 02, 2008",Completed,Bureau of Forestry -,8 P ALADDIN 13ZG 06.02.08
"",Green Streets,60609,,10:05 AM,10:05 AM,,Green Streets,
"",,COOK,,,,,,
08-00183977,Tree Planting -,"4830 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","MAY 29, 2008",Completed,Bureau of Forestry -,2 P ALADDIN 32AD 05.29.08
"",Green Streets,60609,,10:06 AM,10:06 AM,,Green Streets,
"",,COOK,,,,,,
08-00183990,Tree Planting -,"4920 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,9 P  FALL 2008 INTERIOR
"",Green Streets,60609,,10:06 AM,10:07 AM,,Green Streets,TRIANGLE
