Work Order Number,"Work Order: Type
Name","Work Order:
Street
Number","Work
Order:
Street
Direction","Work Order:
Street Name","Work
Order:
Street Type",Ward,"Work
Order:
Created
Time Value","Work
Order:
Completed
Time Value",Status,Work Order: Description
19-00013751,"Tree Planting -
Green Streets",60,E,OHIO,ST,42,9:00 AM,1:29 PM,Closed,APS-2 ECO ON OHIO NEAR BIG BOWL
19-00015356,"Tree Planting -
Green Streets",32,W,13TH,ST,3,1:21 PM,12:00 PM,Closed,1 PARKWAY
19-00015792,"Tree Planting -
Green Streets",37,W,13TH,ST,3,2:45 PM,12:56 PM,Closed,"1 PARKWAY, 7D"
19-01195235,"Tree Planting -
Green Streets",32,W,13TH,ST,3,11:39 AM,12:40 PM,Closed,"1P, 7D, 41ZD"
19-01195771,"Tree Planting -
Green Streets",63,E,13TH,ST,3,1:03 PM,1:04 PM,Closed,"1OP, 7D, 07CC"
19-01195893,"Tree Planting -
Green Streets",1212,W,13TH,ST,25,1:22 PM,1:22 PM,Closed,"1OP, 7D, 07CC"
19-01195912,"Tree Planting -
Green Streets",1304,W,13TH,ST,25,1:24 PM,1:25 PM,Closed,"1OP, 7D, 01ZF"
19-01195928,"Tree Planting -
Green Streets",242,E,14TH,ST,3,1:26 PM,1:26 PM,Closed,"1P, 7D, 01ZF"
19-01195948,"Tree Planting -
Green Streets",702,W,16TH,ST,11,1:28 PM,1:28 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01195959,"Tree Planting -
Green Streets",704,W,16TH,ST,11,1:30 PM,1:30 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01195991,"Tree Planting -
Green Streets",714,W,16TH,ST,11,1:35 PM,1:36 PM,Closed,
19-01196003,"Tree Planting -
Green Streets",1230,W,16TH,ST,25,1:37 PM,1:40 PM,Closed,
19-01196028,"Tree Planting -
Green Streets",1340,W,16TH,ST,25,1:41 PM,1:41 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01196037,"Tree Planting -
Green Streets",1437,W,16TH,ST,25,1:42 PM,1:44 PM,Closed,"1P, 7D, 13ZG, 4/25/19"
19-01196057,"Tree Planting -
Green Streets",1631,W,17TH,ST,25,1:46 PM,1:46 PM,Closed,"1OP, 7D, 05ZA, 04/23/19"
19-01196066,"Tree Planting -
Green Streets",1647,W,17TH,ST,25,1:48 PM,1:48 PM,Closed,"1OP, 7D, 07CC, 04/23/19"
