Park,Year,Region,Shade Trees,"OrnamentalTrees",Tree Total
Abbott,2018,S,181,0,181
Abbott,2012,S,0,2,2
Abbott,2008,S,28,0,28
Ada,2014,S,30,0,30
Ada,2011,S,26,9,35
"Adams, George & Adele",2013,N,1,1,2
"Adams, John C.",2010,S,38,8,46
Adams/Dobson,2018,S,13,0,13
"Addams, Jane",2018,C,2,0,2
Aiello,2016,N,3,0,3
Algonquin,2010,N,2,0,2
Almond,2019,S,4,0,4
Altgeld,2010,C,2,2,4
Amundsen,2014,N,120,0,120
Amundsen,2010,N,3,5,8
Arcade,2018,S,3,0,3
Archer,2014,C,54,0,54
Armour Square,2017,C,55,0,55
Armour Square,2016,C,0,1,1
Armour Square,2015,C,1,0,1
Armour Square,2013,C,1,0,1
Armour Square,2011,C,4,0,4
Armstrong,2015,C,116,0,116
Arrigo,2019,C,3,0,3
Arrigo,2017,C,5,0,5
Arrigo,2016,C,14,0,14
Arrigo,2015,C,0,1,1
Arrigo,2013,C,16,0,16
Arrigo,2011,C,1,0,1
Arrigo,2010,C,2,0,2
Arrigo,2009,C,1,0,1
Ashe Beach,2016,S,12,0,12
Ashe Beach,2010,S,9,0,9
Athletic Field,2017,N,8,0,8
Athletic Field,2010,N,4,0,4
Auburn,2019,S,32,0,32
Augusta,2014,C,12,0,12
Augusta,2010,C,4,0,4
Austin,2014,C,20,0,20
Austin Town Hall,2014,C,12,0,12
Austin Town Hall,2009,C,3,5,8
Austin-Foster,2014,N,15,0,15
Austin-Foster,2013,N,5,0,5
Austin-Foster,2009,N,2,2,4
Avalon,2017,S,123,0,123
Avalon,2007,S,61,9,70
Avondale,2006,N,4,3,7
Back of the Yards,2020,S,7,0,7
Barnard,2014,S,46,0,46
Bartelme,2019,C,0,2,2
"Bartelme, Mary",2016,C,2,0,2
"Bartelme, Mary",2013,C,1,0,1
Battle of  Ft. Dearborn,2010,C,0,7,7
Bauler,2017,N,10,0,10
Bauler,2009,N,1,3,4
Beilfuss,2009,N,23,16,39
Bell,2014,N,21,0,21
Bell,2007,N,5,0,5
